,brand,current_price,old_price,discount,description,ratings,times_reviewed,ROM,RAM,mAh,camera,total_camera,screen_size(inch),star
341,Sony,31544,52573,40,"Sony Xperia L1 5.5 Inch Dual 4G Smartphone With 2GB RAM 16GB ROM, 13MP Rear Camera - EU Plug",100,1,16.0,2.0,,13MP,13.0,5.5,5.0
342,Gionee,139999,139999,0,"M6 (GN8003) 5.5-Inch HD (4GB,64GB ROM) Android 6.0 Marshmallow, 13MP + 8MP Dual SIM 4G Smartphone - Mocha Gold",80,1,64.0,4.0,,13MP+8MP,21.0,5.5,4.0
343,Oukitel,42328,42328,0,"OUKITEL C15 Pro - 4G - 6.088"" - (2GB RAM + 16GB ROM) - Android 9.0 Pie - 3 Camera - Fingerprint Sensor - 3200mAh - BLACK",60,2,16.0,2.0,3200.0,,21.0,6.09,3.0
344,Doogee,59460,103071,42,S60 Lite 4GB+32GB 5580mAh Battery 5.2 Inch Android 7.0 MTK6750T Octa Core Up To 1.5GHz 4G(Black),100,1,32.0,4.0,5580.0,,21.0,5.2,5.0
345,Huawei,60799,78999,23,Huawei Y7 Prime 2018 Enjoy 8 3GB RAM 32GB ROM 5.99''Octa Core 1440*720P 3000mAh Dual Rear Camera,20,1,32.0,3.0,3000.0,,21.0,5.99,1.0
346,Tecno,21000,25000,16,"F1 5-Inch (1GB, 8GB ROM) Android 8 Oreo (Go Edition), 5MP + 2MP Dual SIM 3G Smartphone - Dark Blue",80,2,8.0,1.0,,5MP+2MP,7.0,5.0,4.0
347,Leeco,42990,47760,10,Le Pro3 Elite 5.5 Inch Android 6.0 4G Phablet Snapdragon 820 Quad Core 4GB RAM 32GB ROM 8MP + 16MP Cameras-Gold,100,1,32.0,4.0,,8MP+16MP,24.0,5.5,5.0
348,Oppo,95629,102600,7,"Realme Q 6GB+64GB 6.3"" 48MP Quad Cameras Snapdragon 712 Octa Core 20W QC VOOC 3.0 4035mAh-Green",97,6,64.0,6.0,4035.0,48MP,48.0,6.3,5.0
349,XIAOMI,97000,97000,0,"Redmi Note 4 5.5-Inch HD (4GB,64GB ROM) Android 6.0 Marshmallow, 13MP + 5MP Dual SIM 4G Smartphone - Black",100,2,64.0,4.0,,13MP+5MP,18.0,5.5,5.0
350,Huawei,101835,136240,25,"Honor 8X Max 6GB+64GB 7.12"" Dual Camera Snapdragon 660 Octa Core Fingerprint Unlock Dual SIM 18W QC 5000mAh-Black",100,1,64.0,6.0,5000.0,,21.0,7.12,5.0
351,Nokia,10800,19000,43,C5 C5-00 Mobile Phone 3MP/5MP Camera 3G GPS Bluetooth FM C5-00 Cell Phone Cheap Phone Frees Shipping,100,1,32.0,4.0,,3MP+5MP,8.0,6.0,5.0
352,Nokia,0,19000,53,"215 ASHA 2.4"" 2MP CAMERA Bluetooth Dual SIM Keyboard Mobile Phone- Black",80,1,32.0,4.0,,2MP,2.0,2.4,4.0
353,Lenovo,54999,88430,38,S5 Pro L58041 6GB RAM 64GB ROM Rear Camera 20.0MP+12.0MP SDM636 Octa-Core 1.8GHz  Phone-BLACK,100,1,64.0,6.0,,20.0MP+12.0MP,32.0,6.0,5.0
354,Kismo,500,500,0,"Kismo T660- FOUR SIM, Slim Metallic Design ,16mb ROM+8mb RAM With Big Battery - Black",20,1,32.0,4.0,,,21.0,6.0,1.0
355,Lenovo,51910,51910,0,Lenovo K5 K350t 5.7'' Mobile Phone 3GB RAM 32GB ROM MT6750 Octa-core Smartphone,80,1,32.0,3.0,,,21.0,5.7,4.0
356,Fero,35100,35100,0,"Royale A1 5.0-Inch (1GB, 8GB ROM) Android 6.0 Marshmallow, 8MP + 5MP Dual SIM 3G Smartphone",50,2,8.0,1.0,,8MP+5MP,13.0,5.0,2.5
357,Arashi,96999,97000,1,"Global Version Xiaomi Redmi Note 5 4GB 64GB Cellphone Snapdragon S636 Octa Core 4000mAh 5.99"" 12.0MP+5.0MP",80,2,64.0,4.0,4000.0,12.0MP+5.0MP,17.0,5.99,4.0
358,XIAOMI,100000,100000,0,"Note 8 Pro, 6.53 Inch, 6GB RAM 64GB ROM, 64MP + 8MP + 2MP +2MP, Android 9.0, Battery 4500mAh. Mineral Grey",80,1,64.0,6.0,4500.0,64MP+8MP+2MP+2MP,76.0,6.53,4.0
